LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Naive,404,10,Multiplicative0.005,4040,10,1,5.38444739992739,5.41150492455014,5.43856244917289,,5.34685825052548,5.33993473159539,5.30579058535435,5.33094059236448,5.39313800620919,5.41733861079781,5.2795779580305,5.25772706764278,5.22433773963728,5.44112470193636
1,Oracle,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41150492455014,5.43896110924646,,5.34685825052548,5.33993473159539,5.30579058535435,5.33094059236448,5.39313800620919,5.41733861079781,5.2795779580305,5.25772706764278,5.22433773963728,5.44112470193636
1,Value,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41150492455014,5.43896110924646,,5.34685825052548,5.33993473159539,5.30579058535435,5.33094059236448,5.39313800620919,5.41733861079781,5.2795779580305,5.25772706764278,5.22433773963728,5.44112470193636
1,Vector,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41150492455014,5.43896110924646,,5.34685825052548,5.33993473159539,5.30579058535435,5.33094059236448,5.39313800620919,5.41733861079781,5.2795779580305,5.25772706764278,5.22433773963728,5.44112470193636
1,Oracle Vector,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41150492455014,5.43896110924646,,5.34685825052548,5.33993473159539,5.30579058535435,5.33094059236448,5.39313800620919,5.41733861079781,5.2795779580305,5.25772706764278,5.22433773963728,5.44112470193636
1,Dist L1,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41150492455014,5.43896110924646,,5.34685825052548,5.33993473159539,5.30579058535435,5.33094059236448,5.39313800620919,5.41733861079781,5.2795779580305,5.25772706764278,5.22433773963728,5.44112470193636
2,Naive,404,10,Multiplicative0.005,8080,20,2,5.3833949918825,5.41044722802262,5.43749946416273,,5.34545982738027,5.33945171662802,5.30624226081216,5.33120649576218,5.39232657498668,5.41471070631327,5.27797364544205,5.25499462370338,5.22285549018573,5.44017337833641
2,Oracle,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41044722802262,5.43896110924646,,5.34545982738027,5.33945171662802,5.30624226081216,5.33120649576218,5.39232657498668,5.41471070631327,5.27797364544205,5.25499462370338,5.22285549018573,5.44017337833641
2,Oracle Vector,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41044722802262,5.43896110924646,,5.34545982738027,5.33945171662802,5.30624226081216,5.33120649576218,5.39232657498668,5.41471070631327,5.27797364544205,5.25499462370338,5.22285549018573,5.44017337833641
2,Vector,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41044722802262,5.43896110924646,,5.34545982738027,5.33945171662802,5.30624226081216,5.33120649576218,5.39232657498668,5.41471070631327,5.27797364544205,5.25499462370338,5.22285549018573,5.44017337833641
2,Value,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41044722802262,5.43896110924646,,5.34545982738027,5.33945171662802,5.30624226081216,5.33120649576218,5.39232657498668,5.41471070631327,5.27797364544205,5.25499462370338,5.22285549018573,5.44017337833641
2,Dist L1,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.41044722802262,5.43896110924646,,5.34545982738027,5.33945171662802,5.30624226081216,5.33120649576218,5.39232657498668,5.41471070631327,5.27797364544205,5.25499462370338,5.22285549018573,5.44017337833641
3,Naive,404,10,Multiplicative0.005,12120,30,3,5.38294246585567,5.40999242799565,5.43704239013562,,5.34471551422064,5.34051548402777,5.30622170961505,5.33143064802336,5.39229709649925,5.41247775298143,5.27658527054576,5.25263855442837,5.2217303240775,5.43972406045084
3,Oracle,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.40999242799565,5.43896110924646,,5.34471551422064,5.34051548402777,5.30622170961505,5.33143064802336,5.39229709649925,5.41247775298143,5.27658527054576,5.25263855442837,5.2217303240775,5.43972406045084
3,Oracle Vector,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.40999242799565,5.43896110924646,,5.34471551422064,5.34051548402777,5.30622170961505,5.33143064802336,5.39229709649925,5.41247775298143,5.27658527054576,5.25263855442837,5.2217303240775,5.43972406045084
3,Vector,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.40999242799565,5.43896110924646,,5.34471551422064,5.34051548402777,5.30622170961505,5.33143064802336,5.39229709649925,5.41247775298143,5.27658527054576,5.25263855442837,5.2217303240775,5.43972406045084
3,Value,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.40999242799565,5.43896110924646,,5.34471551422064,5.34051548402777,5.30622170961505,5.33143064802336,5.39229709649925,5.41247775298143,5.27658527054576,5.25263855442837,5.2217303240775,5.43972406045084
3,Dist L1,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.40999242799565,5.43896110924646,,5.34471551422064,5.34051548402777,5.30622170961505,5.33143064802336,5.39229709649925,5.41247775298143,5.27658527054576,5.25263855442837,5.2217303240775,5.43972406045084
4,Naive,404,10,Multiplicative0.005,16160,40,4,5.38268896435859,5.4097376526217,5.4367863408848,,5.34403898674315,5.34145682670461,5.30655801083521,5.33259598970362,5.39131584996851,5.41218567751369,5.27648707778683,5.25184515724257,5.22126791018858,5.43855365658033
4,Oracle,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.4097376526217,5.43896110924646,,5.34403898674315,5.34145682670461,5.30655801083521,5.33259598970362,5.39131584996851,5.41218567751369,5.27648707778683,5.25184515724257,5.22126791018858,5.43855365658033
4,Vector,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.4097376526217,5.43896110924646,,5.34403898674315,5.34145682670461,5.30655801083521,5.33259598970362,5.39131584996851,5.41218567751369,5.27648707778683,5.25184515724257,5.22126791018858,5.43855365658033
4,Value,404,10,Multiplicative0.005,0,0,0,5.38484209323406,5.4097376526217,5.43896110924646,,5.34403898674315,5.34145682670461,5.30655801083521,5.33259598970362,5.39131584996851,5.41218567751369,5.27648707778683,5.25184515724257,5.22126791018858,5.43855365658033
