LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
1,Oracle,102,8,Additive0.015,0,0,0,4.02751012695236,4.04208905202784,4.05751012695236,,3.98085916958585,3.98867699812123,3.94981523503501,4.02835098954759,4.04340714896192,3.91008428791374,3.87558913575744,4.08064510131217
1,Value,102,8,Additive0.015,0,0,0,4.02751012695236,4.04208905202784,4.05751012695236,,3.98085916958585,3.98867699812123,3.94981523503501,4.02835098954759,4.04340714896192,3.91008428791374,3.87558913575744,4.08064510131217
1,Oracle Vector,102,8,Additive0.015,0,0,0,4.02751012695236,4.04208905202784,4.05751012695236,,3.98085916958585,3.98867699812123,3.94981523503501,4.02835098954759,4.04340714896192,3.91008428791374,3.87558913575744,4.08064510131217
1,Vector,102,8,Additive0.015,0,0,0,4.02751012695236,4.04208905202784,4.05751012695236,,3.98085916958585,3.98867699812123,3.94981523503501,4.02835098954759,4.04340714896192,3.91008428791374,3.87558913575744,4.08064510131217
1,Dist L1,102,8,Additive0.015,0,0,0,4.02751012695236,4.04208905202784,4.05751012695236,,3.98085916958585,3.98867699812123,3.94981523503501,4.02835098954759,4.04340714896192,3.91008428791374,3.87558913575744,4.08064510131217
2,Oracle,102,8,Additive0.015,0,0,0,4.02751012695236,4.04130201979273,4.05751012695236,,3.98048887652696,3.98880277421561,3.95015841132138,4.0281610124537,4.04117672077394,3.90994143350553,3.87341108316463,4.07921975538128
2,Oracle Vector,102,8,Additive0.015,0,0,0,4.02751012695236,4.04130201979273,4.05751012695236,,3.98048887652696,3.98880277421561,3.95015841132138,4.0281610124537,4.04117672077394,3.90994143350553,3.87341108316463,4.07921975538128
2,Vector,102,8,Additive0.015,0,0,0,4.02751012695236,4.04130201979273,4.05751012695236,,3.98048887652696,3.98880277421561,3.95015841132138,4.0281610124537,4.04117672077394,3.90994143350553,3.87341108316463,4.07921975538128
2,Value,102,8,Additive0.015,0,0,0,4.02751012695236,4.04130201979273,4.05751012695236,,3.98048887652696,3.98880277421561,3.95015841132138,4.0281610124537,4.04117672077394,3.90994143350553,3.87341108316463,4.07921975538128
2,Dist L1,102,8,Additive0.015,0,0,0,4.02751012695236,4.04130201979273,4.05751012695236,,3.98048887652696,3.98880277421561,3.95015841132138,4.0281610124537,4.04117672077394,3.90994143350553,3.87341108316463,4.07921975538128
3,Oracle,102,8,Additive0.015,0,0,0,4.02751012695236,4.04079399322814,4.05751012695236,,3.98025621607536,3.98939758475227,3.95069438531103,4.02802369856707,4.03904177936665,3.9090575736564,3.87207323799072,4.07839379292612
3,Oracle Vector,102,8,Additive0.015,0,0,0,4.02751012695236,4.04079399322814,4.05751012695236,,3.98025621607536,3.98939758475227,3.95069438531103,4.02802369856707,4.03904177936665,3.9090575736564,3.87207323799072,4.07839379292612
3,Vector,102,8,Additive0.015,0,0,0,4.02751012695236,4.04079399322814,4.05751012695236,,3.98025621607536,3.98939758475227,3.95069438531103,4.02802369856707,4.03904177936665,3.9090575736564,3.87207323799072,4.07839379292612
3,Value,102,8,Additive0.015,0,0,0,4.02751012695236,4.04079399322814,4.05751012695236,,3.98025621607536,3.98939758475227,3.95069438531103,4.02802369856707,4.03904177936665,3.9090575736564,3.87207323799072,4.07839379292612
3,Dist L1,102,8,Additive0.015,0,0,0,4.02751012695236,4.04079399322814,4.05751012695236,,3.98025621607536,3.98939758475227,3.95069438531103,4.02802369856707,4.03904177936665,3.9090575736564,3.87207323799072,4.07839379292612
4,Oracle,102,8,Additive0.015,0,0,0,4.02751012695236,4.04038255322016,4.05751012695236,,3.97936247314211,3.98929862848894,3.95152625459404,4.02734027704553,4.03759926001749,3.90903745943415,3.87071018819984,4.078026118646
4,Oracle Vector,102,8,Additive0.015,0,0,0,4.02751012695236,4.04038255322016,4.05751012695236,,3.97936247314211,3.98929862848894,3.95152625459404,4.02734027704553,4.03759926001749,3.90903745943415,3.87071018819984,4.078026118646
4,Value,102,8,Additive0.015,0,0,0,4.02751012695236,4.04038255322016,4.05751012695236,,3.97936247314211,3.98929862848894,3.95152625459404,4.02734027704553,4.03759926001749,3.90903745943415,3.87071018819984,4.078026118646
4,Vector,102,8,Additive0.015,0,0,0,4.02751012695236,4.04038255322016,4.05751012695236,,3.97936247314211,3.98929862848894,3.95152625459404,4.02734027704553,4.03759926001749,3.90903745943415,3.87071018819984,4.078026118646
4,Dist L1,102,8,Additive0.015,0,0,0,4.02751012695236,4.04038255322016,4.05751012695236,,3.97936247314211,3.98929862848894,3.95152625459404,4.02734027704553,4.03759926001749,3.90903745943415,3.87071018819984,4.078026118646
