LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5
1,Oracle,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78174737530763,6.81269326295616,,6.69848976452757,6.69403569924433,6.77677150816709,6.64356580905798,6.71546532960146
1,Oracle Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78174737530763,6.81269326295616,,6.69848976452757,6.69403569924433,6.77677150816709,6.64356580905798,6.71546532960146
1,Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78174737530763,6.81269326295616,,6.69848976452757,6.69403569924433,6.77677150816709,6.64356580905798,6.71546532960146
1,Value,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78174737530763,6.81269326295616,,6.69848976452757,6.69403569924433,6.77677150816709,6.64356580905798,6.71546532960146
1,Dist L1,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78174737530763,6.81269326295616,,6.69848976452757,6.69403569924433,6.77677150816709,6.64356580905798,6.71546532960146
2,Oracle,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78060451410696,6.81269326295616,,6.69778153584477,6.69416159098689,6.77478896336176,6.6417021186403,6.71400828700675
2,Value,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78060451410696,6.81269326295616,,6.69778153584477,6.69416159098689,6.77478896336176,6.6417021186403,6.71400828700675
2,Oracle Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78060451410696,6.81269326295616,,6.69778153584477,6.69416159098689,6.77478896336176,6.6417021186403,6.71400828700675
2,Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78060451410696,6.81269326295616,,6.69778153584477,6.69416159098689,6.77478896336176,6.6417021186403,6.71400828700675
2,Dist L1,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78060451410696,6.81269326295616,,6.69778153584477,6.69416159098689,6.77478896336176,6.6417021186403,6.71400828700675
3,Oracle,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010844128557,6.81269326295616,,6.69836043715569,6.69461841402437,6.77391210102106,6.63905129237047,6.71344711528311
3,Oracle Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010844128557,6.81269326295616,,6.69836043715569,6.69461841402437,6.77391210102106,6.63905129237047,6.71344711528311
3,Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010844128557,6.81269326295616,,6.69836043715569,6.69461841402437,6.77391210102106,6.63905129237047,6.71344711528311
3,Value,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010844128557,6.81269326295616,,6.69836043715569,6.69461841402437,6.77391210102106,6.63905129237047,6.71344711528311
3,Dist L1,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010844128557,6.81269326295616,,6.69836043715569,6.69461841402437,6.77391210102106,6.63905129237047,6.71344711528311
4,Oracle,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010849583866,6.81269326295616,,6.69847828359466,6.69532051677817,6.77372298839137,6.63885726005083,6.71257430071129
4,Oracle Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010849583866,6.81269326295616,,6.69847828359466,6.69532051677817,6.77372298839137,6.63885726005083,6.71257430071129
4,Value,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010849583866,6.81269326295616,,6.69847828359466,6.69532051677817,6.77372298839137,6.63885726005083,6.71257430071129
4,Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010849583866,6.81269326295616,,6.69847828359466,6.69532051677817,6.77372298839137,6.63885726005083,6.71257430071129
4,Dist L1,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78010849583866,6.81269326295616,,6.69847828359466,6.69532051677817,6.77372298839137,6.63885726005083,6.71257430071129
5,Oracle,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78000286066129,6.81269326295616,,6.69832172581407,6.69549388920761,6.77350910300306,6.63933048383036,6.71243035894648
5,Oracle Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78000286066129,6.81269326295616,,6.69832172581407,6.69549388920761,6.77350910300306,6.63933048383036,6.71243035894648
5,Value,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78000286066129,6.81269326295616,,6.69832172581407,6.69549388920761,6.77350910300306,6.63933048383036,6.71243035894648
5,Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78000286066129,6.81269326295616,,6.69832172581407,6.69549388920761,6.77350910300306,6.63933048383036,6.71243035894648
5,Dist L1,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78000286066129,6.81269326295616,,6.69832172581407,6.69549388920761,6.77350910300306,6.63933048383036,6.71243035894648
6,Oracle,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.77988505414984,6.81269326295616,,6.69883094747588,6.69621967200326,6.77285772125504,6.6390814420402,6.71176495934967
6,Oracle Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.77988505414984,6.81269326295616,,6.69883094747588,6.69621967200326,6.77285772125504,6.6390814420402,6.71176495934967
6,Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.77988505414984,6.81269326295616,,6.69883094747588,6.69621967200326,6.77285772125504,6.6390814420402,6.71176495934967
6,Value,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.77988505414984,6.81269326295616,,6.69883094747588,6.69621967200326,6.77285772125504,6.6390814420402,6.71176495934967
6,Dist L1,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.77988505414984,6.81269326295616,,6.69883094747588,6.69621967200326,6.77285772125504,6.6390814420402,6.71176495934967
7,Oracle,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78006074077404,6.81269326295616,,6.69936403620704,6.69638310469379,6.77359173567559,6.6382099993253,6.71220905707243
7,Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78006074077404,6.81269326295616,,6.69936403620704,6.69638310469379,6.77359173567559,6.6382099993253,6.71220905707243
7,Oracle Vector,1653,5,Multiplicative0.0045,0,0,0,6.75165370161559,6.78006074077404,6.81269326295616,,6.69936403620704,6.69638310469379,6.77359173567559,6.6382099993253,6.71220905707243
